Retailer,Retailer ID,Invoice Date ,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Foot Locker,1185732,21-11-2021,Northeast,New York,New York,Men's Street Footwear,33,388,1280,666,Outlet
Foot Locker,1185732,05-12-2021,Northeast,New York,New York,Men's Street Footwear,34,384,1306,679,Outlet
Foot Locker,1185732,23-01-2020,Southeast,Georgia,Atlanta,Men's Street Footwear,31,376,1166,559,Outlet
Sports Direct,1197831,23-06-2020,South,Alabama,Birmingham,Women's Athletic Footwear,20,375,7500,"4,125.00",Outlet
Foot Locker,1185732,17-09-2021,Midwest,Michigan,Detroit,Women's Street Footwear,20,375,7500,"2,625.00",In-store
West Gear,1185732,05-04-2020,West,Utah,Salt Lake City,Women's Athletic Footwear,20,375,7500,"3,000.00",In-store
West Gear,1185732,02-11-2020,West,Utah,Salt Lake City,Women's Athletic Footwear,20,375,7500,"3,000.00",In-store
Foot Locker,1185732,11-09-2020,South,Mississippi,Jackson,Women's Street Footwear,15,375,5625,"2,250.00",Online
West Gear,1197831,06-10-2020,South,Arkansas,Little Rock,Men's Athletic Footwear,15,375,5625,"1,969.00",Online
West Gear,1197831,07-12-2021,South,Arkansas,Little Rock,Women's Street Footwear,15,375,5625,"2,250.00",Online
Foot Locker,1185732,23-06-2020,Northeast,New York,New York,Men's Street Footwear,41,375,1538,800,Outlet
Walmart,1197831,12-07-2020,South,Texas,Houston,Women's Street Footwear,29,374,1085,445,Outlet
Walmart,1197831,13-09-2021,South,Texas,Houston,Women's Street Footwear,29,374,1085,445,Outlet
Foot Locker,1185732,10-01-2020,Northeast,New York,New York,Men's Street Footwear,33,372,1228,663,Outlet
Foot Locker,1185732,15-09-2021,Northeast,New York,New York,Men's Street Footwear,44,366,1610,837,Outlet
Walmart,1185732,14-06-2020,Northeast,New York,New York,Men's Street Footwear,56,360,2016,"1,250.00",Online
Foot Locker,1185732,02-03-2020,Northeast,New York,New York,Men's Athletic Footwear,37,359,1328,452,Outlet
Walmart,1185732,08-12-2020,Northeast,New York,New York,Women's Apparel,48,355,1704,511,Outlet
Foot Locker,1185732,11-03-2020,Northeast,New York,New York,Men's Street Footwear,46,354,1628,"1,026.00",Online
Foot Locker,1185732,01-07-2020,Northeast,New York,New York,Women's Apparel,47,352,1654,447,Outlet
Foot Locker,1185732,28-07-2020,Midwest,Missouri,St. Louis,Women's Street Footwear,25,350,8750,"3,063.00",In-store
Foot Locker,1185732,26-09-2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,350,8750,"3,500.00",In-store
Foot Locker,1185732,01-05-2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,350,8750,"3,063.00",In-store
Foot Locker,1185732,21-01-2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,350,8750,"3,063.00",In-store
West Gear,1185732,28-05-2020,West,Utah,Salt Lake City,Women's Street Footwear,25,350,8750,"3,063.00",In-store
West Gear,1185732,01-08-2020,West,Utah,Salt Lake City,Women's Street Footwear,10,350,3500,"1,225.00",In-store
Amazon,1185732,28-02-2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,350,8750,"3,500.00",Online
Walmart,1185732,22-10-2020,South,Mississippi,Jackson,Women's Athletic Footwear,25,350,8750,"3,500.00",Online
Sports Direct,1197831,15-05-2021,South,Mississippi,Jackson,Men's Athletic Footwear,25,350,8750,"3,063.00",Online
Walmart,1197831,13-03-2020,South,Arkansas,Little Rock,Women's Street Footwear,10,350,3500,"1,400.00",Online
Walmart,1197831,05-03-2020,South,Arkansas,Little Rock,Women's Apparel,25,350,8750,"3,500.00",Online
Walmart,1197831,20-03-2020,South,Arkansas,Little Rock,Women's Street Footwear,15,350,5250,"2,100.00",Online
West Gear,1197831,23-01-2021,South,Oklahoma,Oklahoma City,Women's Apparel,20,350,7000,"2,800.00",Online
West Gear,1197831,20-03-2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,20,350,7000,"2,450.00",Online
Kohl's,1197831,24-09-2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,25,350,8750,"3,063.00",Online
Kohl's,1197831,31-03-2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,350,5250,"1,838.00",Online
Kohl's,1197831,04-09-2021,South,Oklahoma,Oklahoma City,Women's Apparel,25,350,8750,"3,063.00",Online
West Gear,1185732,29-04-2020,Northeast,West Virginia,Charleston,Women's Apparel,25,350,8750,"3,500.00",In-store
Foot Locker,1185732,07-11-2021,Northeast,New York,New York,Women's Street Footwear,32,350,1120,414,Outlet
Foot Locker,1185732,05-04-2020,Northeast,New York,New York,Women's Apparel,36,350,1260,365,Outlet
Walmart,1185732,22-03-2021,Northeast,New York,New York,Men's Athletic Footwear,43,350,1505,497,Outlet
Walmart,1185732,10-01-2020,Northeast,New York,New York,Women's Apparel,45,350,1575,473,Outlet
Walmart,1197831,03-11-2021,South,Texas,Houston,Women's Apparel,38,350,1330,758,Outlet
Foot Locker,1185732,01-04-2020,Southeast,Georgia,Atlanta,Men's Street Footwear,26,349,907,426,Outlet
Foot Locker,1185732,26-01-2021,Northeast,New York,New York,Women's Apparel,46,347,1596,511,Outlet
West Gear,1185732,10-02-2020,West,Utah,Salt Lake City,Women's Street Footwear,20,345,6900,"2,415.00",In-store
West Gear,1128299,19-03-2021,West,California,San Francisco,Men's Street Footwear,41,341,1398,601,Outlet
Foot Locker,1185732,08-04-2021,Northeast,New York,New York,Men's Athletic Footwear,41,340,1394,474,Outlet
Walmart,1185732,04-03-2020,Northeast,New York,New York,Women's Apparel,48,340,1632,490,Outlet
West Gear,1128299,07-03-2020,West,California,San Francisco,Men's Street Footwear,41,338,1386,527,Outlet
Foot Locker,1185732,15-02-2021,Northeast,New York,New York,Men's Street Footwear,47,336,1579,963,Online
Foot Locker,1185732,23-07-2020,Northeast,New York,New York,Women's Apparel,39,333,1299,351,Outlet
Walmart,1185732,12-10-2020,Northeast,New York,New York,Women's Street Footwear,42,333,1399,559,Outlet
Walmart,1197831,23-06-2020,South,Texas,Houston,Men's Street Footwear,32,333,1066,426,Outlet
Walmart,1197831,06-03-2021,South,Texas,Houston,Men's Athletic Footwear,34,333,1132,476,Outlet
West Gear,1128299,15-04-2020,West,California,San Francisco,Men's Athletic Footwear,46,332,1527,321,Outlet
Sports Direct,1197831,07-11-2021,South,Texas,Dallas,Women's Street Footwear,35,332,1162,546,Outlet
Foot Locker,1185732,06-12-2020,Northeast,New York,New York,Women's Apparel,38,330,1254,401,Outlet
Walmart,1185732,08-03-2020,Northeast,New York,New York,Women's Apparel,50,330,1650,462,Outlet
Foot Locker,1185732,02-03-2020,Southeast,South Carolina,Charleston,Men's Street Footwear,62,326,2021,"1,152.00",Online
Foot Locker,1185732,21-08-2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,325,8125,"3,250.00",In-store
Foot Locker,1185732,08-03-2020,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,325,8125,"3,250.00",In-store
West Gear,1185732,03-12-2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,20,325,6500,"2,600.00",In-store
West Gear,1185732,08-01-2021,West,Utah,Salt Lake City,Men's Athletic Footwear,25,325,8125,"2,844.00",In-store
West Gear,1185732,17-05-2020,West,Utah,Salt Lake City,Women's Street Footwear,15,325,4875,"1,706.00",In-store
West Gear,1185732,11-05-2021,West,Utah,Salt Lake City,Women's Athletic Footwear,10,325,3250,"1,300.00",In-store
West Gear,1185732,10-07-2020,West,Utah,Salt Lake City,Men's Apparel,20,325,6500,"2,275.00",In-store
Amazon,1185732,08-10-2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,325,8125,"3,250.00",Online
Foot Locker,1185732,23-10-2021,South,Mississippi,Jackson,Women's Athletic Footwear,25,325,8125,"3,250.00",Online
Walmart,1197831,12-12-2021,South,Arkansas,Little Rock,Men's Athletic Footwear,20,325,6500,"2,275.00",Online
Walmart,1197831,12-02-2021,South,Arkansas,Little Rock,Women's Athletic Footwear,15,325,4875,"1,950.00",Online
Walmart,1197831,01-05-2020,South,Arkansas,Little Rock,Men's Apparel,25,325,8125,"2,844.00",Online
West Gear,1197831,14-06-2020,South,Arkansas,Little Rock,Women's Street Footwear,15,325,4875,"1,950.00",Online
Kohl's,1197831,21-06-2021,Midwest,Kansas,Wichita,Women's Apparel,20,325,6500,"2,275.00",Online
Kohl's,1197831,04-10-2021,Midwest,Kansas,Wichita,Men's Athletic Footwear,20,325,6500,"2,275.00",Online
West Gear,1185732,28-10-2020,Northeast,West Virginia,Charleston,Women's Street Footwear,20,325,6500,"2,600.00",In-store
Foot Locker,1185732,28-07-2021,Northeast,New York,New York,Men's Street Footwear,58,325,1885,"1,150.00",Online
Foot Locker,1185732,24-02-2020,Northeast,New York,New York,Women's Athletic Footwear,40,324,1296,518,Outlet
Sports Direct,1185732,13-04-2020,Southeast,Florida,Miami,Men's Street Footwear,63,323,2035,"1,140.00",Online
Foot Locker,1185732,14-10-2021,Northeast,New York,New York,Women's Street Footwear,32,323,1034,393,Outlet
Foot Locker,1185732,12-01-2020,Northeast,New York,New York,Women's Apparel,36,323,1163,314,Outlet
Walmart,1197831,12-12-2020,South,Texas,Houston,Men's Athletic Footwear,33,323,1066,448,Outlet
Walmart,1185732,29-07-2020,Northeast,New York,New York,Women's Apparel,53,322,1707,478,Outlet
West Gear,1128299,01-03-2020,West,California,San Francisco,Men's Street Footwear,40,322,1288,425,Outlet
Sports Direct,1197831,25-10-2020,South,Texas,Dallas,Women's Street Footwear,33,322,1063,446,Outlet
Sports Direct,1197831,06-07-2020,South,Tennessee,Knoxville,Women's Street Footwear,30,322,966,483,Outlet
Sports Direct,1197831,18-08-2020,South,Alabama,Birmingham,Women's Street Footwear,31,322,998,559,Outlet
West Gear,1197831,05-05-2021,South,Arkansas,Little Rock,Women's Street Footwear,25,320,8000,"3,200.00",Online
Foot Locker,1185732,03-09-2021,Northeast,New York,New York,Men's Athletic Footwear,36,320,1152,403,Outlet
Foot Locker,1185732,01-11-2020,Northeast,New York,New York,Women's Apparel,44,320,1408,408,Outlet
Foot Locker,1185732,21-11-2021,Northeast,New York,New York,Men's Street Footwear,59,319,1882,"1,129.00",Online
Walmart,1197831,05-08-2021,South,Texas,Houston,Women's Street Footwear,37,319,1180,531,Online
Foot Locker,1185732,02-09-2021,Southeast,Florida,Miami,Men's Street Footwear,43,319,1372,782,Online
Foot Locker,1185732,22-03-2020,Northeast,New York,New York,Men's Athletic Footwear,41,318,1304,482,Outlet
Foot Locker,1185732,07-09-2020,Northeast,New York,New York,Men's Street Footwear,54,317,1712,"1,096.00",Online
Foot Locker,1185732,17-07-2021,Northeast,New York,New York,Men's Athletic Footwear,39,315,1229,405,Outlet
Foot Locker,1185732,14-08-2021,Northeast,New York,New York,Men's Athletic Footwear,35,315,1103,397,Outlet
Foot Locker,1185732,03-05-2021,Northeast,New York,New York,Men's Athletic Footwear,35,315,1103,364,Outlet
Foot Locker,1185732,08-04-2021,Northeast,New York,New York,Women's Street Footwear,28,315,882,335,Outlet
Walmart,1185732,26-03-2021,Northeast,New York,New York,Women's Street Footwear,36,315,1134,442,Outlet
Walmart,1185732,24-08-2021,Northeast,New York,New York,Men's Apparel,44,315,1386,513,Outlet
Walmart,1197831,13-11-2020,South,Texas,Houston,Men's Street Footwear,24,315,756,295,Outlet
Walmart,1197831,31-07-2020,South,Texas,Houston,Women's Street Footwear,36,315,1134,431,Outlet
Kohl's,1189833,02-12-2021,West,California,Los Angeles,Men's Street Footwear,39,315,1229,565,Outlet
Foot Locker,1185732,17-06-2020,Northeast,New York,New York,Women's Street Footwear,27,314,848,348,Outlet
Foot Locker,1185732,22-03-2020,Northeast,New York,New York,Women's Street Footwear,37,314,1162,430,Outlet
Sports Direct,1197831,02-10-2021,South,Tennessee,Knoxville,Women's Street Footwear,39,314,1225,576,Outlet
Foot Locker,1185732,22-02-2020,Northeast,New York,New York,Men's Street Footwear,46,313,1440,893,Online
Foot Locker,1185732,17-04-2021,Northeast,New York,New York,Men's Street Footwear,55,313,1722,"1,050.00",Online
Walmart,1185732,12-09-2020,Northeast,New York,New York,Men's Street Footwear,62,312,1934,"1,238.00",Online
Foot Locker,1185732,08-10-2020,Southeast,Georgia,Atlanta,Men's Street Footwear,38,312,1186,700,Online
Walmart,1185732,16-06-2020,Northeast,New York,New York,Men's Athletic Footwear,40,312,1248,449,Outlet
Foot Locker,1185732,06-12-2021,Southeast,South Carolina,Charleston,Men's Street Footwear,63,311,1959,"1,156.00",Online
Walmart,1185732,06-08-2020,Northeast,New York,New York,Men's Athletic Footwear,43,310,1333,467,Outlet
Foot Locker,1185732,28-12-2021,Northeast,New York,New York,Men's Athletic Footwear,53,308,1632,669,Online
Sports Direct,1185732,04-04-2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,61,308,1879,996,Online
Foot Locker,1185732,01-03-2020,Northeast,New York,New York,Men's Apparel,43,306,1316,487,Outlet
Foot Locker,1185732,24-11-2020,Northeast,New York,New York,Men's Apparel,43,306,1316,461,Outlet
Walmart,1185732,09-07-2021,Northeast,New York,New York,Women's Athletic Footwear,34,306,1040,406,Outlet
Walmart,1185732,01-09-2021,Northeast,New York,New York,Women's Athletic Footwear,41,306,1255,502,Outlet
Sports Direct,1197831,05-01-2021,South,Texas,Houston,Men's Street Footwear,20,306,612,257,Outlet
Sports Direct,1197831,21-03-2020,South,Texas,Houston,Men's Street Footwear,23,306,704,260,Outlet
Sports Direct,1197831,14-12-2020,South,Texas,Houston,Men's Athletic Footwear,29,306,887,364,Outlet
Walmart,1197831,01-07-2020,South,Texas,Houston,Men's Athletic Footwear,31,306,949,379,Outlet
Walmart,1197831,31-03-2021,South,Texas,Houston,Women's Apparel,41,306,1255,690,Outlet
West Gear,1128299,12-03-2020,West,California,San Francisco,Women's Apparel,60,306,1836,477,Outlet
West Gear,1128299,28-09-2021,West,California,San Francisco,Men's Athletic Footwear,46,306,1408,282,Outlet
Kohl's,1189833,02-04-2020,West,California,Los Angeles,Men's Street Footwear,36,306,1102,496,Outlet
Sports Direct,1197831,19-06-2021,South,Tennessee,Knoxville,Women's Apparel,37,306,1132,668,Outlet
West Gear,1128299,07-01-2021,South,Louisiana,New Orleans,Men's Street Footwear,62,306,1897,816,Outlet
Foot Locker,1185732,21-04-2020,Northeast,New York,New York,Women's Apparel,64,305,1952,761,Online
Walmart,1197831,25-08-2021,South,Texas,Houston,Men's Street Footwear,27,305,824,305,Outlet
Walmart,1197831,19-12-2021,South,Texas,Houston,Men's Athletic Footwear,33,305,1007,382,Outlet
Foot Locker,1197831,16-09-2021,West,Idaho,Boise,Women's Street Footwear,39,305,1190,511,Outlet
West Gear,1185732,11-05-2021,Southeast,Florida,Miami,Men's Street Footwear,60,304,1824,"1,040.00",Online
Walmart,1197831,03-05-2020,South,Texas,Houston,Women's Apparel,36,302,1087,565,Outlet
West Gear,1128299,28-03-2021,West,California,San Francisco,Men's Street Footwear,45,302,1359,544,Outlet
Sports Direct,1197831,10-02-2021,South,Tennessee,Knoxville,Men's Apparel,30,300,9000,"3,150.00",Outlet
Sports Direct,1197831,16-04-2020,South,Alabama,Birmingham,Men's Apparel,30,300,9000,"4,050.00",Outlet
Foot Locker,1185732,05-01-2020,Midwest,Missouri,St. Louis,Women's Street Footwear,30,300,9000,"3,150.00",In-store
Foot Locker,1185732,01-05-2020,Midwest,Missouri,St. Louis,Women's Street Footwear,15,300,4500,"1,575.00",In-store
West Gear,1185732,02-03-2020,West,Utah,Salt Lake City,Women's Athletic Footwear,20,300,6000,"2,400.00",In-store
West Gear,1185732,01-05-2021,West,Utah,Salt Lake City,Women's Street Footwear,20,300,6000,"2,100.00",In-store
Amazon,1185732,27-01-2021,Midwest,Ohio,Columbus,Women's Street Footwear,30,300,9000,"3,600.00",Online
Foot Locker,1185732,28-07-2021,South,Mississippi,Jackson,Women's Athletic Footwear,20,300,6000,"2,400.00",Online
Sports Direct,1197831,14-10-2020,South,Mississippi,Jackson,Women's Athletic Footwear,20,300,6000,"2,400.00",Online
Walmart,1197831,18-09-2020,South,Arkansas,Little Rock,Men's Athletic Footwear,25,300,7500,"2,625.00",Online
Walmart,1197831,26-01-2020,South,Arkansas,Little Rock,Women's Street Footwear,15,300,4500,"1,800.00",Online
Walmart,1197831,23-02-2020,South,Arkansas,Little Rock,Women's Street Footwear,20,300,6000,"2,400.00",Online
Kohl's,1197831,03-06-2020,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,15,300,4500,"1,575.00",Online
Kohl's,1197831,07-06-2020,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,300,4500,"1,575.00",Online
Kohl's,1197831,10-07-2020,Midwest,Kansas,Wichita,Women's Apparel,30,300,9000,"3,150.00",Online
Foot Locker,1197831,24-04-2020,Midwest,Kansas,Wichita,Women's Apparel,30,300,9000,"3,150.00",Online
West Gear,1185732,06-09-2021,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,30,300,9000,"3,150.00",In-store
West Gear,1185732,22-01-2021,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,25,300,7500,"2,625.00",In-store
West Gear,1185732,01-07-2020,Midwest,Indiana,Indianapolis,Women's Apparel,20,300,6000,"2,400.00",In-store
West Gear,1185732,12-08-2020,Midwest,Indiana,Indianapolis,Women's Street Footwear,25,300,7500,"3,000.00",In-store
West Gear,1185732,24-03-2020,Midwest,Indiana,Indianapolis,Women's Street Footwear,30,300,9000,"3,600.00",In-store
Sports Direct,1185732,22-01-2021,Northeast,New Jersey,Newark,Women's Street Footwear,30,300,9000,"2,700.00",In-store
Foot Locker,1185732,09-01-2021,Northeast,New York,New York,Men's Street Footwear,45,300,1350,837,Online
Walmart,1185732,25-11-2021,Northeast,New York,New York,Men's Athletic Footwear,51,300,1530,643,Online
West Gear,1185732,06-04-2020,Southeast,Florida,Miami,Men's Street Footwear,52,300,1560,874,Online
Walmart,1185732,13-01-2020,Northeast,New York,New York,Men's Street Footwear,60,299,1794,"1,076.00",Online
West Gear,1185732,11-12-2021,Southeast,Florida,Miami,Men's Street Footwear,60,299,1794,"1,076.00",Online
Walmart,1197831,21-02-2020,South,Texas,Houston,Women's Apparel,42,298,1252,713,Outlet
Walmart,1197831,26-12-2021,South,Texas,Houston,Women's Street Footwear,38,298,1132,430,Outlet
West Gear,1128299,01-08-2021,West,Oregon,Portland,Men's Street Footwear,60,298,1788,751,Outlet
Walmart,1197831,11-05-2021,South,Texas,Houston,Women's Street Footwear,39,297,1158,533,Online
Foot Locker,1185732,10-11-2021,Northeast,New York,New York,Women's Athletic Footwear,38,297,1129,429,Outlet
Kohl's,1189833,03-10-2020,West,California,Los Angeles,Men's Street Footwear,36,297,1069,470,Outlet
Walmart,1128299,04-07-2020,Southeast,Florida,Orlando,Men's Street Footwear,68,297,2020,747,Outlet
Foot Locker,1185732,01-03-2020,Northeast,New York,New York,Men's Athletic Footwear,37,296,1095,383,Outlet
Foot Locker,1185732,10-09-2020,Northeast,New York,New York,Women's Street Footwear,37,296,1095,449,Outlet
Foot Locker,1185732,22-09-2021,Midwest,Missouri,St. Louis,Women's Street Footwear,25,295,7375,"2,581.00",In-store
Foot Locker,1185732,10-08-2020,Northeast,New York,New York,Women's Street Footwear,35,295,1033,434,Outlet
Walmart,1197831,07-06-2020,South,Texas,Houston,Women's Apparel,32,295,944,538,Outlet
Walmart,1197831,19-07-2020,South,Texas,Houston,Men's Street Footwear,28,295,826,339,Outlet
Walmart,1197831,09-11-2020,South,Texas,Houston,Men's Street Footwear,29,295,856,342,Outlet
Sports Direct,1185732,16-07-2020,Southeast,North Carolina,Charlotte,Men's Street Footwear,60,294,1764,882,Online
Walmart,1185732,20-09-2020,Northeast,New York,New York,Women's Street Footwear,43,294,1264,531,Outlet
Walmart,1197831,27-10-2021,South,Texas,Houston,Women's Apparel,47,293,1377,868,Online
West Gear,1128299,29-07-2021,West,California,San Francisco,Men's Street Footwear,51,293,1494,598,Online
Foot Locker,1185732,11-04-2020,Northeast,New York,New York,Women's Apparel,48,290,1392,529,Online
Foot Locker,1185732,13-05-2020,Northeast,New York,New York,Women's Apparel,59,290,1711,616,Online
Walmart,1185732,03-04-2020,Northeast,New York,New York,Women's Apparel,62,290,1798,665,Online
Walmart,1185732,09-07-2021,Northeast,New York,New York,Women's Apparel,68,290,1972,749,Online
Walmart,1185732,29-08-2021,Northeast,New York,New York,Women's Apparel,68,290,1972,690,Online
West Gear,1185732,30-08-2020,Southeast,Florida,Miami,Men's Street Footwear,55,290,1595,941,Online
Foot Locker,1185732,16-02-2021,Southeast,South Carolina,Charleston,Men's Street Footwear,67,290,1943,"1,166.00",Online
Foot Locker,1185732,02-08-2021,Northeast,New York,New York,Men's Apparel,43,289,1243,398,Outlet
Foot Locker,1185732,31-05-2021,Northeast,New York,New York,Women's Athletic Footwear,31,289,896,331,Outlet
Foot Locker,1185732,18-04-2020,Northeast,New York,New York,Women's Athletic Footwear,33,289,954,381,Outlet
Walmart,1185732,04-07-2020,Northeast,New York,New York,Men's Apparel,51,289,1474,472,Outlet
Sports Direct,1197831,14-12-2021,South,Texas,Houston,Men's Athletic Footwear,23,289,665,279,Outlet
Walmart,1197831,12-01-2021,South,Texas,Houston,Women's Apparel,44,289,1272,725,Outlet
West Gear,1128299,26-09-2020,West,California,San Francisco,Men's Street Footwear,28,289,809,340,Outlet
West Gear,1128299,23-12-2021,West,California,San Francisco,Men's Street Footwear,36,289,1040,343,Outlet
Kohl's,1189833,02-02-2020,West,California,Los Angeles,Men's Street Footwear,38,289,1098,505,Outlet
Foot Locker,1185732,08-08-2021,South,Mississippi,Jackson,Men's Street Footwear,47,289,1358,625,Outlet
Foot Locker,1185732,23-05-2020,Northeast,New York,New York,Women's Street Footwear,36,288,1037,435,Outlet
Foot Locker,1185732,02-11-2020,Northeast,New York,New York,Men's Apparel,45,288,1296,441,Outlet
Kohl's,1189833,21-11-2020,West,California,Los Angeles,Men's Athletic Footwear,42,288,1210,339,Outlet
West Gear,1185732,23-11-2021,Southeast,Florida,Orlando,Men's Street Footwear,36,288,1037,487,Outlet
Foot Locker,1185732,23-07-2021,Southeast,South Carolina,Charleston,Men's Street Footwear,51,287,1464,849,Online
Walmart,1197831,05-04-2021,South,Texas,Houston,Men's Athletic Footwear,30,287,861,362,Outlet
West Gear,1128299,12-08-2020,West,California,San Francisco,Men's Street Footwear,40,287,1148,402,Outlet
West Gear,1128299,07-09-2021,West,California,San Francisco,Men's Athletic Footwear,42,287,1205,205,Outlet
Foot Locker,1185732,07-04-2020,Northeast,New York,New York,Women's Apparel,61,286,1745,698,Online
Walmart,1185732,15-06-2021,Northeast,New York,New York,Women's Street Footwear,54,285,1539,723,Online
Walmart,1197831,24-08-2021,South,Texas,Houston,Men's Athletic Footwear,44,285,1254,602,Online
Sports Direct,1197831,03-10-2021,South,Tennessee,Knoxville,Women's Street Footwear,46,285,1311,787,Online
Walmart,1197831,18-09-2021,South,Texas,Houston,Men's Athletic Footwear,32,285,912,383,Outlet
Kohl's,1189833,26-10-2020,West,California,Los Angeles,Men's Street Footwear,30,285,855,402,Outlet
Foot Locker,1185732,30-12-2020,Southeast,Florida,Miami,Men's Street Footwear,53,284,1505,828,Online
Foot Locker,1185732,15-01-2020,Southeast,South Carolina,Charleston,Men's Street Footwear,33,283,934,532,Online
Foot Locker,1185732,09-07-2021,Southeast,South Carolina,Charleston,Men's Street Footwear,48,282,1354,744,Online
Foot Locker,1185732,24-07-2020,Northeast,New York,New York,Women's Athletic Footwear,36,281,1012,374,Outlet
Foot Locker,1185732,28-08-2020,Northeast,New York,New York,Men's Apparel,44,281,1236,445,Outlet
Walmart,1197831,28-12-2020,South,Texas,Houston,Women's Street Footwear,34,281,955,373,Outlet
West Gear,1128299,05-06-2021,West,California,San Francisco,Women's Street Footwear,42,281,1180,531,Outlet
Sports Direct,1197831,11-11-2020,South,Texas,Dallas,Men's Street Footwear,46,281,1293,608,Outlet
Foot Locker,1185732,29-10-2021,Southeast,Georgia,Atlanta,Women's Apparel,30,281,843,447,Outlet
Walmart,1185732,12-08-2021,Northeast,New York,New York,Women's Apparel,59,280,1652,661,Online
Foot Locker,1185732,07-03-2020,Northeast,New York,New York,Men's Apparel,47,280,1316,461,Outlet
